category,destinationcode,direction,operator,origincode,serviceno
TRUNK,97009,1,GAS,65009,118
TRUNK,96119,1,GAS,65199,118A
TRUNK,65191,1,GAS,96111,118B
TRUNK,65009,1,GAS,65009,119
TRUNK,10499,1,GAS,77009,12
EXPRESS,10499,1,GAS,77009,12e
TRUNK,65009,1,GAS,54009,136
TRUNK,77009,1,GAS,77009,15
TRUNK,83109,1,GAS,77009,15A
TRUNK,84009,1,GAS,77009,17
TRUNK,84591,1,GAS,84009,17A
TRUNK,10499,1,GAS,99009,2
FEEDER,85091,1,GAS,10499,2A
TRUNK,65009,1,GAS,75009,3
TRUNK,65009,1,GAS,65009,34
TRUNK,76059,1,GAS,65009,34A
TRUNK,75351,1,GAS,75359,34B
FEEDER,77009,1,GAS,77009,354
TOWNLINK,77009,1,GAS,77009,358
TOWNLINK,77009,1,GAS,77009,359
TRUNK,95129,1,GAS,95129,36
TRUNK,09191,1,GAS,95129,36A
TRUNK,93199,1,GAS,93049,36B
FEEDER,65009,1,GAS,65009,381
FEEDER,65531,1,GAS,65009,382A
FEEDER,65009,1,GAS,65009,382G
FEEDER,65009,1,GAS,65009,382W
FEEDER,65009,1,GAS,65009,386
FEEDER,65371,1,GAS,65009,386A
TRUNK,77331,1,GAS,75009,3A
TRUNK,77009,1,GAS,77289,3B
TRUNK,77009,1,GAS,77009,403
TRUNK,94009,1,GAS,65009,43
TRUNK,65009,1,GAS,65009,43M
EXPRESS,77009,1,GAS,77009,518
EXPRESS,03519,1,GAS,77009,518A
TRUNK,77009,1,GAS,77009,6
TRUNK,65009,1,GAS,65009,62
TRUNK,81089,1,GAS,65009,62A
CITY_LINK,03391,1,GAS,78111,661
TRUNK,77009,1,GAS,77009,68
TRUNK,65009,1,GAS,65009,82
TRUNK,65009,1,GAS,65009,83
TRUNK,65009,1,GAS,65009,84
TRUNK,59009,1,GAS,65009,85
TRUNK,67441,1,GAS,59009,85A
TRUNK,16009,1,SBST,75009,10
TRUNK,11009,1,SBST,66009,100
TRUNK,81089,1,SBST,66009,100A
TRUNK,66009,1,SBST,66009,101
TRUNK,64009,1,SBST,64009,102
TRUNK,59009,1,SBST,66009,103
TRUNK,28009,1,SBST,66009,105
TRUNK,17179,1,SBST,28009,105B
TRUNK,03239,1,SBST,64009,107
TRUNK,64009,1,SBST,64009,107M
TRUNK,99009,1,SBST,66009,109
TRUNK,64611,1,SBST,66009,109A
EXPRESS,03217,1,SBST,85049,10e
TRUNK,80009,1,SBST,80009,11
TRUNK,11009,1,SBST,11009,111
TRUNK,64009,1,SBST,64009,112
TRUNK,63031,1,SBST,64009,112A
TRUNK,64009,1,SBST,64009,113
TRUNK,63031,1,SBST,63039,113A
TRUNK,63221,1,SBST,63221,115
TRUNK,64009,1,SBST,64009,116
TRUNK,66359,1,SBST,66439,116A
TRUNK,58009,1,SBST,65009,117
TRUNK,59041,1,SBST,59479,117A
TRUNK,59073,2,SBST,58009,117B
TRUNK,10499,1,SBST,10499,120
TRUNK,10499,1,SBST,10499,121
TRUNK,10499,1,SBST,10499,122
TRUNK,14539,1,SBST,10009,123
TRUNK,14009,1,SBST,14009,123M
TRUNK,14009,1,SBST,52499,124
TRUNK,52499,1,SBST,52499,125
TRUNK,60219,1,SBST,81081,125A
TRUNK,75009,1,SBST,75009,127
TRUNK,75281,1,SBST,75009,127A
TRUNK,03239,1,SBST,55009,128
TRUNK,52499,1,SBST,75019,129
TRUNK,94009,1,SBST,55509,13
TRUNK,03239,1,SBST,54009,130
TRUNK,53189,1,SBST,54009,130A
TRUNK,10009,1,SBST,52499,131
TRUNK,03217,1,SBST,52499,131A
TRUNK,10009,1,SBST,10009,131M
TRUNK,10009,1,SBST,64009,132
TRUNK,03239,1,SBST,54009,133
TRUNK,80289,1,SBST,80289,134
TRUNK,54009,1,SBST,54009,135
TRUNK,93201,1,SBST,54009,135A
TRUNK,94009,1,SBST,80289,137
TRUNK,84451,1,SBST,84031,137A
TRUNK,54009,1,SBST,54009,138
TRUNK,48131,1,SBST,54009,138A
TRUNK,55121,1,SBST,54009,138B
TRUNK,10009,1,SBST,52009,139
TRUNK,52009,1,SBST,52009,139M
TRUNK,53231,1,SBST,54019,13A
TRUNK,17009,1,SBST,84009,14
TRUNK,80009,1,SBST,80009,140
TRUNK,52009,1,SBST,80009,141
TRUNK,52009,1,SBST,52009,142
TRUNK,60209,1,SBST,52009,142A
TRUNK,11379,1,SBST,52009,145
TRUNK,14249,1,SBST,10209,145A
TRUNK,17009,1,SBST,64009,147
TRUNK,05019,1,SBST,64009,147A
EXPRESS,17009,1,SBST,04239,147e
TRUNK,09059,1,SBST,84009,14A
EXPRESS,09048,1,SBST,84211,14e
TRUNK,82009,1,SBST,82009,150
TRUNK,16009,1,SBST,64009,151
EXPRESS,16009,1,SBST,64009,151e
TRUNK,64009,1,SBST,10009,153
TRUNK,82009,1,SBST,22009,154
TRUNK,28091,1,SBST,21551,154A
TRUNK,12101,1,SBST,22009,154B
TRUNK,84009,1,SBST,52009,155
TRUNK,17009,1,SBST,67009,156
TRUNK,22009,1,SBST,52009,157
TRUNK,66009,1,SBST,66009,158
TRUNK,81081,1,SBST,81089,158A
TRUNK,52009,1,SBST,67009,159
TRUNK,54399,1,SBST,67009,159A
TRUNK,54481,1,SBST,54391,159B
TRUNK,10009,1,SBST,84009,16
TRUNK,28009,1,SBST,28009,160
TRUNK,43671,1,SBST,28009,160A
TRUNK,46009,1,SBST,64009,161
TRUNK,03239,1,SBST,55509,162
TRUNK,55509,1,SBST,55509,162M
TRUNK,52009,1,SBST,67009,163
TRUNK,67651,1,SBST,67009,163A
TRUNK,17009,1,SBST,64009,165
TRUNK,17009,1,SBST,54009,166
TRUNK,46009,1,SBST,84009,168
TRUNK,46239,1,SBST,01109,170
TRUNK,46069,1,SBST,01109,170A
TRUNK,47711,1,SBST,45131,170X
TRUNK,10499,1,SBST,22009,174
EXPRESS,10499,1,SBST,22009,174e
TRUNK,80009,1,SBST,17009,175
TRUNK,22009,1,SBST,22009,179
TRUNK,22009,1,SBST,22009,179A
TRUNK,75019,1,SBST,75019,18
TRUNK,22009,1,SBST,22009,181
TRUNK,22009,1,SBST,22009,181M
TRUNK,24009,1,SBST,24009,182
TRUNK,24009,1,SBST,24009,182M
TRUNK,11379,1,SBST,22609,185
TRUNK,52499,1,SBST,03239,186
TRUNK,75009,1,SBST,75009,19
TRUNK,11379,1,SBST,11379,191
TRUNK,25009,1,SBST,22009,192
TRUNK,25009,1,SBST,22009,193
TRUNK,22009,1,SBST,22009,194
TRUNK,02089,1,SBST,02099,195
TRUNK,10169,1,SBST,02099,195A
TRUNK,17009,1,SBST,84009,196
TRUNK,03218,1,SBST,84009,196A
EXPRESS,03218,1,SBST,93049,196e
TRUNK,28009,1,SBST,84009,197
TRUNK,10009,1,SBST,22009,198
TRUNK,28459,1,SBST,22009,198A
TRUNK,22009,1,SBST,22009,199
NIGHT SERVICE,59561,1,SBST,02099,1N
TRUNK,75009,1,SBST,75009,20
TRUNK,11389,1,SBST,11379,200
TRUNK,16009,1,SBST,11379,200A
TRUNK,16009,1,SBST,16009,201
TRUNK,52499,1,SBST,77009,21
TRUNK,07231,1,SBST,80089,21A
TRUNK,75009,1,SBST,54009,22
FEEDER,84009,1,SBST,84009,222
